Circuit: * Z:\home\peter\repos\pwm-charge-controller\ltspice\pwm5.asc

Direct Newton iteration for .op point succeeded.
Heightened Def Con from 3.21676e-005 to 3.21678e-005
Heightened Def Con from 3.2168e-005 to 3.2168e-005
Heightened Def Con from 3.2168e-005 to 3.2169e-005
Heightened Def Con from 3.2169e-005 to 3.2172e-005
Heightened Def Con from 3.21886e-005 to 3.21886e-005
Heightened Def Con from 3.21886e-005 to 3.21897e-005
Heightened Def Con from 3.21897e-005 to 3.21897e-005
Heightened Def Con from 3.21897e-005 ++to 3.21907e-005
Heightened Def Con from 3.21907e-005 to 3.21907e-005
Heightened Def Con from 3.21907e-005 to 3.21907e-005
Heightened Def Con from 3.21907e-005 to 3.21927e-005
Heightened Def Con from 3.21955e-005 to 3.21957e-005
Heightened Def Con from 3.21957e-005 to 3.21977e-005
Heightened Def Con from 3.22047e-005 to 3.22047e-005
Heightened Def Con from 3.22047e-005 to 3.22048e-005
Heightened Def Con from 3.22048e-005 to 3.22049e-005
Heightened Def Con from 3.22049e-005 to 3.22049e-005
Heightened Def Con from 3.22049e-005 to 3.22059e-005
Heightened Def Con from 3.22059e-005 to 3.22079e-005
Heightened Def Con from 3.22079e-005 to 3.2208e-005
Heightened Def Con from 3.2208e-005 to 3.22081e-005
Heightened Def Con from 3.22081e-005 +to 3.22082e-005
Heightened Def Con from 3.22088e-005 to 3.22088e-005
Heightened Def Con from 3.22088e-005 to 3.22088e-005
Heightened Def Con from 3.22088e-005 to 3.22108e-005
Heightened Def Con from 3.22108e-005 to 3.2211e-005
Heightened Def Con from 3.2211e-005 to 3.2211e-005
Heightened Def Con from 3.2211e-005 to 3.22111e-005
Heightened Def Con from 3.22111e-005 to 3.22112e-005
Heightened Def Con from 3.22112e-005 to 3.22124e-005
Heightened Def Con from 3.22142e-005 to 3.22142e-005
Heightened Def Con from 3.22142e-005 +to 3.22164e-005
Heightened Def Con from 3.22171e-005 to 3.22171e-005
Heightened Def Con from 3.22171e-005 to 3.22191e-005
Heightened Def Con from 3.22191e-005 +to 3.22211e-005
Heightened Def Con from 3.22211e-005 to 3.22211e-005
Heightened Def Con from 3.22211e-005 to 3.22221e-005
Heightened Def Con from 3.22221e-005 +to 3.22233e-005
Heightened Def Con from 3.22247e-005 to 3.22267e-005
Heightened Def Con from 3.22269e-005 to 3.22269e-005
Heightened Def Con from 3.22269e-005 to 3.22269e-005
Heightened Def Con from 3.22269e-005 to 3.22269e-005
Heightened Def Con from 3.22269e-005 to 3.22289e-005
Heightened Def Con from 3.22289e-005 to 3.223e-005
Heightened Def Con from 3.22303e-005 to 3.22323e-005
Heightened Def Con from 3.22323e-005 to 3.22323e-005
Heightened Def Con from 3.22323e-005 to 3.22334e-005
Heightened Def Con from 3.22334e-005 to 3.22346e-005
Heightened Def Con from 3.22346e-005 to 3.22346e-005
Heightened Def Con from 3.22346e-005 to 3.22346e-005
Heightened Def Con from 3.22346e-005 to 3.22366e-005
Heightened Def Con from 3.22402e-005 to 3.22422e-005
Heightened Def Con from 3.22481e-005 to 3.22501e-005
Heightened Def Con from 3.22517e-005 to 3.22517e-005
Heightened Def Con from 3.22517e-005 to 3.22528e-005
Heightened Def Con from 3.22528e-005 to 3.22528e-005
Heightened Def Con from 3.22528e-005 to 3.22539e-005
Heightened Def Con from 3.22539e-005 to 3.22559e-005
Heightened Def Con from 3.23441e-005 to 3.23443e-005
Heightened Def Con from 3.23443e-005 to 3.23454e-005
Heightened Def Con from 3.23454e-005 +to 3.23464e-005
Heightened Def Con from 3.23477e-005 to 3.23497e-005
Heightened Def Con from 3.2365e-005 +to 3.2366e-005
Heightened Def Con from 3.23661e-005 to 3.23681e-005
Heightened Def Con from 3.23769e-005 to 3.23779e-005
Heightened Def Con from 3.2378e-005 to 3.23791e-005
Heightened Def Con from 3.23809e-005 to 3.23819e-005
Heightened Def Con from 3.23819e-005 to 3.23819e-005
Heightened Def Con from 3.23819e-005 +to 3.23829e-005
Heightened Def Con from 3.23843e-005 to 3.23854e-005
Heightened Def Con from 3.23854e-005 +to 3.23865e-005
Heightened Def Con from 3.23867e-005 +to 3.23887e-005
Heightened Def Con from 3.23887e-005 to 3.23897e-005
Heightened Def Con from 3.23897e-005 to 3.239e-005
Heightened Def Con from 3.23907e-005 to 3.23919e-005
Heightened Def Con from 3.23919e-005 +to 3.23939e-005
Heightened Def Con from 3.23954e-005 to 3.23954e-005
Heightened Def Con from 3.23954e-005 to 3.23954e-005
Heightened Def Con from 3.23954e-005 to 3.23954e-005
Heightened Def Con from 3.23954e-005 to 3.23954e-005
Heightened Def Con from 3.23954e-005 to 3.23954e-005
Heightened Def Con from 3.23954e-005 to 3.23974e-005
Heightened Def Con from 3.23976e-005 to 3.23987e-005
Heightened Def Con from 3.23987e-005 to 3.23988e-005
Heightened Def Con from 3.23988e-005 to 3.23988e-005
Heightened Def Con from 3.23988e-005 to 3.23998e-005
Heightened Def Con from 3.23998e-005 to 3.24e-005
Heightened Def Con from 3.24002e-005 to 3.24002e-005
Heightened Def Con from 3.24002e-005 to 3.24022e-005
Heightened Def Con from 3.24024e-005 +to 3.24034e-005
Heightened Def Con from 3.24034e-005 to 3.24044e-005
Heightened Def Con from 3.24044e-005 to 3.24044e-005
Heightened Def Con from 3.24044e-005 to 3.24056e-005
Heightened Def Con from 3.24056e-005 to 3.24056e-005
Heightened Def Con from 3.24056e-005 ++to 3.24066e-005
Heightened Def Con from 3.24066e-005 to 3.24076e-005
Heightened Def Con from 3.24076e-005 +to 3.24096e-005
Heightened Def Con from 3.24096e-005 to 3.24106e-005
Heightened Def Con from 3.24106e-005 to 3.24106e-005
Heightened Def Con from 3.24106e-005 to 3.24108e-005
Heightened Def Con from 3.24108e-005 +to 3.24108e-005
Heightened Def Con from 3.24108e-005 to 3.2411e-005
Heightened Def Con from 3.2411e-005 to 3.2412e-005
Heightened Def Con from 3.2412e-005 to 3.24131e-005
Heightened Def Con from 3.24131e-005 to 3.24141e-005
Heightened Def Con from 3.24141e-005 to 3.24141e-005
Heightened Def Con from 3.24141e-005 to 3.24141e-005
Heightened Def Con from 3.24141e-005 to 3.24143e-005
Heightened Def Con from 3.24144e-005 to 3.24155e-005
Heightened Def Con from 3.24155e-005 +to 3.24165e-005
Heightened Def Con from 3.24165e-005 +to 3.24167e-005
Heightened Def Con from 3.24167e-005 to 3.24168e-005
Heightened Def Con from 3.24169e-005 to 3.24169e-005
Heightened Def Con from 3.24169e-005 +to 3.24179e-005
Heightened Def Con from 3.24181e-005 to 3.24181e-005
Heightened Def Con from 3.24181e-005 to 3.24201e-005
Heightened Def Con from 3.24201e-005 to 3.24211e-005
Heightened Def Con from 3.24211e-005 to 3.24221e-005
Heightened Def Con from 3.24221e-005 +to 3.24221e-005
Heightened Def Con from 3.24221e-005 ++to 3.24233e-005
Heightened Def Con from 3.24233e-005 to 3.24235e-005
Heightened Def Con from 3.24235e-005 to 3.24235e-005
Heightened Def Con from 3.24235e-005 to 3.24255e-005
Heightened Def Con from 3.24256e-005 to 3.24256e-005
Heightened Def Con from 3.24256e-005 to 3.24268e-005
Heightened Def Con from 3.24285e-005 to 3.24296e-005
Heightened Def Con from 3.24299e-005 to 3.24299e-005
Heightened Def Con from 3.24299e-005 to 3.24299e-005
Heightened Def Con from 3.24299e-005 to 3.24302e-005
Heightened Def Con from 3.24321e-005 to 3.24321e-005
Heightened Def Con from 3.24321e-005 to 3.24322e-005
Heightened Def Con from 3.24322e-005 to 3.24323e-005
Heightened Def Con from 3.24323e-005 to 3.24343e-005
Heightened Def Con from 3.24377e-005 to 3.24388e-005
Heightened Def Con from 3.24388e-005 to 3.24391e-005
Heightened Def Con from 3.24391e-005 to 3.24392e-005
Heightened Def Con from 3.24392e-005 to 3.24412e-005
Heightened Def Con from 3.24432e-005 to 3.24432e-005
Heightened Def Con from 3.24432e-005 to 3.24433e-005
Heightened Def Con from 3.24433e-005 to 3.24433e-005
Heightened Def Con from 3.24433e-005 to 3.24433e-005
Heightened Def Con from 3.24433e-005 to 3.24435e-005
Heightened Def Con from 3.24438e-005 to 3.24438e-005
Heightened Def Con from 3.24438e-005 to 3.24458e-005
Heightened Def Con from 3.24519e-005 to 3.24519e-005
Heightened Def Con from 3.24519e-005 to 3.24519e-005
